2026-04-27|20:57:21.283423400|encourage-mints|cybersilver|17.38
2026-04-27|20:58:54|breakup prevention amulet|lady under bridge|-54.13
2026-04-29|15:52:06.285212800|The Chalice of faith|King of Ooo|45.28
2003-07-09|12:34:67|Extra Mental Strength|mother dearest|-40.0
2026-01-12|02:17:43|knowledge potion lollipop|mehraj the mage|45.00
2026-01-15|19:52:10|hairband of increased intelligence|ahmad of alchemy|-70.00
2026-01-22|07:03:58|anti-man spray|bewitched wendy|35.00
2026-01-28|23:41:22|enchanted noise-canceling headphones|zared the zen|-60.00
2026-02-03|12:09:11|debugging elixir|chris the cursed|55.00
2026-02-07|03:33:33|dave’s favor|overlord dave|-100.00
2026-02-14|08:48:05|mother’s love|mysterious client|80.00
2026-02-18|21:15:47|chain of unshakable focus|sheku zulu|-40.00
2026-02-24|16:02:19|focus enhancement charm|lucky star luis|30.00
2026-02-27|00:59:59|glasses of bug detection|jose pagan he series|-50.00
2026-03-02|05:27:36|academic comeback potion|kat the enchanting|60.00
2026-03-06|22:44:18|bracelet of rapid typing|zo the growing|-85.00
2026-03-10|13:13:13|social battery refill vial|utsav the unseen|25.00
2026-03-13|01:08:42|ring of major charisma|bald john|-45.00
2026-03-18|09:55:00|aura protection charm|biguely the great|40.00
2026-03-21|18:29:31|boots of productivity|siren silver|-90.00
2026-03-26|03:07:07|subtle classmate sabotager|mysterious entity|50.00
2026-03-29|20:20:20|charm of deadline extension|shah the shadow|-55.00
2026-04-02|06:11:09|i got this delusion potion|hurera the healer|20.00
2026-04-05|23:58:44|extra strength man catcher|pat most strong|65.00
2026-04-08|14:36:22|group project survival kit|unfortunate slacker|70.00
2026-04-10|02:02:02|all-purpose antidote|sir tikhon|-35.00
2026-04-12|10:10:10|last-minute clarity potion|marvelous mr marbin|30.00
2026-04-14|17:45:56|expedited blessing|mysterious service|-25.00